"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2016","Ponce","Coamo","Pedro García","Ají dulce","Capsicum chinense","Quintal","540","54,000.00","24,493.97","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2013","Ponce","Coamo","Pulguillas","Ají dulce","Capsicum chinense","Quintal","500","50,000.00","22,679.60","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2014","Ponce","Coamo","Pulguillas","Ají dulce","Capsicum chinense","Quintal","500","50,000.00","22,679.60","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2015","Ponce","Coamo","Pulguillas","Ají dulce - hidropónico","Capsicum chinense","Quintal","80","8,000.00","3,628.74","0.23","0.09","9,799.00","0.02","0.01","1,000.00","USDA plant database"
"","2016","Caguas","Las Piedras","Tejas","Ají dulce","Capsicum chinense","Quintal","6","600.00","272.16","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2015","Ponce","Coamo","Pulguillas","Ají picante habanero","Capsicum chinense","Quintal","521","52,100.00","23,632.14","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Ponce","Coamo","Pulguillas","Ají picante habanero","Capsicum chinense","Quintal","521","52,100.00","23,632.14","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2015","Ponce","Coamo","San Ildefonso","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Ponce","Coamo","San Ildefonso","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2014","Ponce","Coamo","Santa Catalina","Ají dulce","Capsicum chinense","Quintal","65","6,500.00","2,948.35","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2015","Naranjito","Comerío","Naranjo","Ají dulce","Capsicum chinense","Quintal","12","1,200.00","544.31","2.00","0.79","84,612.85","1.00","0.39","42,306.43","USDA plant database"
"","2016","Naranjito","Comerío","Naranjo","Ají dulce","Capsicum chinense","Quintal","14","1,400.00","635.03","1.50","0.59","63,459.64","1.50","0.59","63,459.64","USDA plant database"
"","2016","Naranjito","Comerío","Palomas","Ají dulce","Capsicum chinense","Quintal","158","15,800.00","7,166.75","12.00","4.72","507,677.13","9.00","3.54","380,757.85","USDA plant database"
"","2015","Naranjito","Comerío","Piñas","Ají dulce","Capsicum chinense","Quintal","57","5,700.00","2,585.47","2.00","0.78","84,612.86","1.35","0.53","57,113.68","USDA plant database"
"","2016","Naranjito","Comerío","Piñas","Ají dulce","Capsicum chinense","Quintal","45","4,500.00","2,041.16","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Naranjito","Comerío","Río Hondo","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","2.00","0.79","84,612.85","0.00","0.00","0.00","USDA plant database"
"","2014","Naranjito","Comerío","Río Hondo","Ají dulce","Capsicum chinense","Quintal","330","33,000.00","14,968.54","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2015","Naranjito","Comerío","Río Hondo","Ají dulce","Capsicum chinense","Quintal","26","2,600.00","1,179.34","1.75","0.69","74,036.25","1.25","0.49","52,883.04","USDA plant database"
